"","danceability","energy","instrumentalness","liveness","mode","speechiness","tempo","valence","like"
"1708",0.546,0.522,0,0.129,1,0.0361,117.299,0.494,0
"1442",0.715,0.964,0.468,0.174,0,0.0651,128.059,0.307,0
"402",0.811,0.461,1.4e-05,0.0767,1,0.264,75.286,0.72,1
"1611",0.624,0.732,0.0142,0.254,0,0.0273,132.025,0.292,0
"108",0.513,0.494,6.43e-05,0.143,1,0.0315,135.894,0.521,1
"439",0.445,0.461,0.167,0.623,1,0.0379,119.951,0.091,1
"974",0.342,0.159,0.114,0.101,1,0.0477,91.963,0.329,1
"160",0.556,0.582,0.911,0.229,0,0.0357,131.023,0.516,1
"1038",0.476,0.527,0,0.307,1,0.0399,152.117,0.205,0
"464",0.805,0.596,0.00772,0.299,1,0.119,81.004,0.753,1
"868",0.476,0.571,0.353,0.349,0,0.055,141.221,0.419,1
"1965",0.685,0.948,0.00347,0.17,1,0.0457,104.881,0.627,0
"1710",0.688,0.795,0,0.133,1,0.047,125.044,0.773,0
"1750",0.862,0.479,0.00126,0.589,1,0.0646,109.878,0.919,0
"1244",0.673,0.813,0,0.148,1,0.0363,103.999,0.638,0
"714",0.59,0.721,0.0155,0.352,0,0.0317,111.524,0.663,1
"1669",0.581,0.526,0.000369,0.113,1,0.0265,166.151,0.551,0
"764",0.749,0.857,0,0.192,1,0.0435,111.906,0.355,1
"312",0.664,0.727,0.000253,0.38,1,0.263,77.92,0.527,1
"1627",0.526,0.861,0.732,0.596,0,0.0587,128.032,0.114,0
"897",0.808,0.916,0.598,0.0445,1,0.0635,121.99,0.69,1
"406",0.865,0.896,0.0488,0.0676,0,0.0623,111.457,0.939,1
"1446",0.443,0.727,9.35e-06,0.118,0,0.0984,74.827,0.423,0
"1236",0.486,0.331,0,0.072,1,0.0328,79.277,0.421,0
"1887",0.499,0.873,0,0.165,1,0.0386,142.726,0.869,0
"1721",0.85,0.398,0,0.263,1,0.0534,99.717,0.717,0
"1433",0.726,0.929,0.379,0.924,0,0.0771,123.036,0.706,0
"1533",0.505,0.159,0.0127,0.218,0,0.0336,59.385,0.205,0
"1394",0.489,0.173,0,0.117,1,0.0567,121.054,0.625,0
"632",0.622,0.628,0,0.251,0,0.243,144.812,0.304,1
"48",0.789,0.494,0.000408,0.144,1,0.0456,104.593,0.832,1
"1894",0.637,0.846,0,0.105,1,0.0346,103.119,0.596,0
"278",0.389,0.884,0.172,0.31,1,0.0741,128.604,0.399,1
"1125",0.612,0.57,3.29e-05,0.122,0,0.0735,169.842,0.813,0
"1778",0.845,0.576,0,0.0764,0,0.153,127.641,0.455,0
"1552",0.42,0.105,0.587,0.0957,1,0.035,99.873,0.108,0
"962",0.864,0.552,0.778,0.094,0,0.0495,112.378,0.74,1
"365",0.444,0.498,0.0299,0.135,1,0.199,119.914,0.294,1
"1367",0.635,0.575,0.00337,0.361,0,0.0581,159.913,0.493,0
"410",0.819,0.684,0.358,0.115,1,0.0599,130.268,0.84,1
"345",0.637,0.498,0.119,0.305,1,0.0231,92.227,0.931,1
"890",0.447,0.416,0.00426,0.125,0,0.0258,103.068,0.309,1
"1499",0.602,0.707,0,0.165,1,0.302,75.09,0.539,0
"1693",0.7,0.714,0,0.0428,0,0.104,99.909,0.482,0
"66",0.557,0.607,0.771,0.33,1,0.0578,73.061,0.259,1
"1225",0.583,0.786,0,0.188,0,0.0301,123.052,0.556,0
"151",0.855,0.638,0,0.162,0,0.143,122.967,0.433,1
"1312",0.227,0.921,0.792,0.154,0,0.099,175.167,0.116,0
"47",0.7,0.756,0.711,0.0575,1,0.0575,114.28,0.947,1
"1591",0.873,0.511,1.22e-06,0.0655,1,0.0368,127.93,0.972,0
"1517",0.349,0.227,0.819,0.109,1,0.031,100.449,0.15,0
"1350",0.389,0.985,0.954,0.305,0,0.112,135.019,0.0637,0
"387",0.226,0.261,0.0677,0.0628,1,0.0339,108.915,0.0795,1
"1897",0.498,0.685,0.775,0.365,1,0.0394,112.49,0.781,0
"247",0.631,0.626,0,0.108,0,0.114,107.007,0.104,1
"323",0.733,0.87,0.00102,0.327,1,0.0624,118.449,0.657,1
"489",0.687,0.799,0.0011,0.107,0,0.355,128.001,0.0397,1
"1625",0.507,0.665,0,0.0759,1,0.0474,126.879,0.406,0
"950",0.89,0.443,0.385,0.369,1,0.0497,122.002,0.195,1
"1302",0.226,0.553,0.0379,0.0728,1,0.0546,129.255,0.323,0
"933",0.906,0.444,6.44e-05,0.173,0,0.384,140.063,0.68,1
"702",0.751,0.882,0,0.15,1,0.0819,140.103,0.657,1
"359",0.673,0.857,0.0108,0.0754,0,0.0422,109.99,0.457,1
"1392",0.712,0.625,0,0.127,1,0.149,100.004,0.718,0
"1109",0.721,0.687,0,0.0679,1,0.0782,175.914,0.828,0
"1787",0.454,0.521,0,0.119,1,0.0285,72.28,0.231,0
"1861",0.447,0.288,1.56e-06,0.0915,1,0.0298,139.522,0.352,0
"1445",0.718,0.944,0.477,0.114,1,0.0386,125.004,0.328,0
"1140",0.774,0.626,3.12e-05,0.0848,0,0.0432,100.041,0.758,0
"1790",0.562,0.659,0,0.133,1,0.0824,87.539,0.246,0
"1444",0.503,0.989,0.542,0.548,1,0.065,174.012,0.615,0
"266",0.875,0.532,0.0123,0.314,0,0.0686,116.556,0.704,1
"1288",0.545,0.576,0,0.103,1,0.0277,100.304,0.416,0
"517",0.582,0.903,0.779,0.243,1,0.0335,119.457,0.902,1
"1617",0.184,0.871,0.167,0.15,0,0.0661,127.972,0.213,0
"69",0.726,0.497,0.89,0.104,0,0.0433,125.004,0.472,1
"1152",0.741,0.667,0,0.106,1,0.134,112.956,0.609,0
"1216",0.81,0.793,1.82e-06,0.072,0,0.0403,116.049,0.86,0
"867",0.444,0.412,0.64,0.145,1,0.0465,184.012,0.364,1
"43",0.624,0.792,1.54e-06,0.0772,0,0.0473,139.94,0.318,1
"1943",0.845,0.768,5.04e-06,0.0575,1,0.188,100,0.954,0
"1398",0.766,0.602,0.765,0.0889,0,0.0273,100.042,0.378,0
"1840",0.642,0.823,0,0.0776,1,0.0289,122.977,0.441,0
"169",0.849,0.408,0,0.101,0,0.284,99.876,0.337,1
"1450",0.559,0.854,2.61e-06,0.294,0,0.036,156.008,0.474,0
"1468",0.71,0.884,0,0.0765,1,0.347,149.995,0.579,0
"1655",0.529,0.955,4.55e-05,0.353,0,0.0794,125.988,0.102,0
"1060",0.403,0.745,0,0.0985,0,0.0858,186.241,0.634,0
"1184",0.804,0.459,0.0862,0.11,1,0.039,111.963,0.372,0
"1829",0.779,0.867,7.98e-06,0.197,0,0.0457,138.858,0.918,0
"1281",0.676,0.79,8.94e-05,0.0938,1,0.0338,99.948,0.0484,0
"1117",0.688,0.719,0,0.15,1,0.0555,88.015,0.589,0
"1155",0.565,0.771,0,0.0568,1,0.212,168.385,0.551,0
"493",0.735,0.801,0,0.137,1,0.0554,123.094,0.491,1
"492",0.677,0.86,0.0119,0.0487,1,0.0348,121.989,0.793,1
"978",0.378,0.572,0.152,0.0579,1,0.175,134.957,0.332,1
"739",0.652,0.744,2.87e-05,0.342,0,0.0378,123.006,0.488,1
"914",0.704,0.895,0.28,0.267,1,0.0647,118.662,0.865,1
"227",0.674,0.501,0.000123,0.0818,0,0.0579,107.363,0.567,1
"1212",0.725,0.68,2.13e-06,0.158,1,0.0306,119.939,0.753,0
"236",0.757,0.578,0.00672,0.127,1,0.0386,102.96,0.952,1
"485",0.796,0.774,0.812,0.0784,0,0.0509,124.989,0.327,1
"1815",0.539,0.658,0,0.286,1,0.0295,136.357,0.494,0
"559",0.428,0.972,0.000854,0.313,0,0.0514,133.064,0.48,1
"1056",0.659,0.926,0.00121,0.113,1,0.0461,152.015,0.949,0
"693",0.422,0.641,0,0.317,0,0.323,187.027,0.668,1
"822",0.586,0.892,0.00827,0.17,0,0.0574,132.048,0.523,1
"1220",0.592,0.752,0,0.0477,1,0.114,74.784,0.73,0
"1063",0.71,0.498,0,0.0916,1,0.0322,136.093,0.52,0
"1447",0.396,0.821,0.000424,0.116,1,0.104,171.927,0.122,0
"1676",0.688,0.835,2.87e-06,0.0795,1,0.0911,84.858,0.879,0
"889",0.839,0.585,0.00281,0.0435,1,0.153,89.821,0.894,1
"475",0.874,0.492,0,0.117,1,0.328,64.992,0.644,1
"689",0.874,0.704,0,0.409,1,0.102,119.954,0.444,1
"444",0.374,0.937,0.0207,0.186,1,0.082,149.812,0.337,1
"1562",0.257,0.216,0.134,0.0979,0,0.0365,65.125,0.19,0
"1776",0.771,0.685,0.00157,0.0537,1,0.0567,88.997,0.683,0
"187",0.552,0.878,0.892,0.0746,1,0.0353,176.057,0.603,1
"571",0.54,0.77,0,0.0846,1,0.354,99.882,0.62,1
"1717",0.543,0.852,0,0.0822,1,0.0787,129.023,0.689,0
"1092",0.66,0.786,0,0.112,1,0.17,177.833,0.849,0
"762",0.741,0.449,0.000522,0.133,1,0.0583,95.108,0.444,1
"1585",0.718,0.315,0,0.228,1,0.181,96.981,0.592,0
"1728",0.642,0.421,0,0.0676,0,0.0237,74.849,0.453,0
"1337",0.398,0.955,0.458,0.299,0,0.0698,100.03,0.134,0
"75",0.506,0.948,0,0.0904,1,0.105,130.195,0.936,1
"38",0.853,0.547,0,0.341,1,0.194,142.065,0.677,1
"284",0.869,0.658,0.299,0.115,1,0.036,109.998,0.244,1
"440",0.575,0.625,0,0.0817,0,0.0345,111.984,0.295,1
"1680",0.231,0.791,0.00055,0.396,0,0.0446,87.337,0.404,0
"248",0.747,0.722,0.000519,0.208,1,0.0349,100.215,0.56,1
"478",0.328,0.827,0.00517,0.632,0,0.252,103.127,0.709,1
"1665",0.591,0.649,0,0.133,1,0.0417,90.002,0.482,0
"1631",0.49,0.811,0,0.0898,0,0.044,125.965,0.564,0
"1070",0.442,0.784,0,0.0597,1,0.0344,170.139,0.554,0
"1654",0.598,0.534,0.124,0.319,0,0.0272,115.005,0.0473,0
"690",0.726,0.834,0.683,0.0845,1,0.0565,130.04,0.574,1
"1199",0.581,0.963,0,0.139,1,0.0981,129.992,0.792,0
"579",0.684,0.637,0,0.297,1,0.061,140.063,0.245,1
"390",0.329,0.814,0.0944,0.0936,1,0.0674,120.462,0.403,1
"541",0.241,0.588,0.00042,0.087,1,0.0313,171.882,0.506,1
"1503",0.583,0.729,2.02e-05,0.367,1,0.0314,144.994,0.313,0
"295",0.651,0.824,6.02e-06,0.129,1,0.0617,141.226,0.731,1
"1968",0.895,0.883,0.000383,0.274,1,0.216,131.644,0.893,0
"1258",0.295,0.326,0,0.157,0,0.0318,126.704,0.136,0
"746",0.561,0.329,0.0311,0.116,1,0.0282,105.029,0.297,1
"1773",0.622,0.593,0,0.0979,0,0.0916,94.364,0.595,0
"352",0.612,0.858,0,0.0984,0,0.0478,145.306,0.451,1
"136",0.698,0.804,0.0599,0.566,1,0.111,92.001,0.786,1
"1618",0.691,0.951,0.0412,0.0316,1,0.0879,126.989,0.617,0
"1506",0.585,0.614,0.000155,0.0762,0,0.037,114.059,0.273,0
"997",0.701,0.788,0.625,0.0977,1,0.0425,142.584,0.794,1
"924",0.465,0.727,0.802,0.0964,0,0.0353,118.149,0.47,1
"753",0.348,0.856,0,0.203,0,0.0979,188.046,0.261,1
"1084",0.747,0.864,4.46e-05,0.0853,0,0.0599,92.028,0.746,0
"282",0.736,0.539,0.0312,0.12,1,0.0936,147.73,0.761,1
"519",0.623,0.806,0.0769,0.201,1,0.0352,130.049,0.847,1
"1764",0.652,0.473,0,0.134,0,0.0313,123.208,0.36,0
"1412",0.894,0.284,0.000487,0.11,0,0.33,138.944,0.413,0
"1738",0.468,0.535,0,0.101,1,0.0436,168.001,0.298,0
"1356",0.605,0.92,0.000596,0.483,0,0.0713,174.974,0.22,0
"1919",0.72,0.898,0,0.0675,0,0.0997,143.431,0.964,0
"682",0.63,0.664,0.082,0.105,1,0.172,179.955,0.231,1
"1283",0.389,0.525,0,0.308,1,0.0403,143.919,0.0963,0
"1560",0.423,0.158,0.0075,0.0975,0,0.0346,106.974,0.19,0
"925",0.69,0.911,0.907,0.127,1,0.0499,124.019,0.62,1
"275",0.379,0.674,1.04e-05,0.0957,0,0.0305,99.797,0.0647,1
"1289",0.495,0.71,0,0.0703,1,0.0288,90.024,0.332,0
"540",0.276,0.766,0.858,0.15,0,0.0373,158.188,0.547,1
"1324",0.256,0.98,0.0196,0.618,1,0.0964,94.99,0.11,0
"1640",0.589,0.651,3.2e-06,0.111,1,0.0306,90.011,0.161,0
"448",0.36,0.362,0.000128,0.107,1,0.0385,116.846,0.144,1
"1827",0.659,0.9,0,0.111,1,0.0317,118.04,0.882,0
"71",0.807,0.778,0.666,0.109,1,0.0399,120.001,0.797,1
"243",0.736,0.68,0.897,0.0922,0,0.0361,120.995,0.0793,1
"1295",0.211,0.649,0,0.117,1,0.0393,150.11,0.289,0
"785",0.628,0.575,0.00233,0.0635,0,0.0588,108.166,0.182,1
"239",0.879,0.495,0.000333,0.0827,0,0.0765,102.652,0.797,1
"354",0.614,0.858,0.0559,0.125,0,0.097,164.025,0.477,1
"366",0.736,0.882,0.000349,0.354,0,0.0398,126.012,0.512,1
"1323",0.428,0.997,0.955,0.253,1,0.185,149.998,0.0533,0
"515",0.52,0.872,0.725,0.161,1,0.0483,111.958,0.524,1
"937",0.555,0.759,0.459,0.248,0,0.142,192.272,0.23,1
"474",0.76,0.76,0.00185,0.113,0,0.0509,111.01,0.616,1
"318",0.551,0.952,0.000686,0.0721,1,0.0944,136.958,0.628,1
"1178",0.704,0.423,0,0.0607,1,0.0862,113.962,0.45,0
"853",0.777,0.671,0.0244,0.286,0,0.0386,123.974,0.482,1
"590",0.79,0.531,0,0.266,1,0.197,86.306,0.498,1
"1875",0.678,0.783,1.51e-05,0.134,0,0.0828,102,0.687,0
"858",0.462,0.714,0.000881,0.0368,1,0.0386,144.952,0.375,1
"1347",0.535,0.974,0.000149,0.263,0,0.172,116.956,0.431,0
"1380",0.762,0.277,0,0.161,1,0.0459,109.689,0.286,0
"893",0.746,0.613,0.672,0.167,1,0.0475,125.317,0.627,1
"1031",0.525,0.657,0,0.119,0,0.054,176.127,0.313,0
"146",0.772,0.635,0.018,0.0961,1,0.0536,168.039,0.592,1
"1874",0.599,0.699,0.276,0.108,0,0.1,120.927,0.312,0
"953",0.744,0.555,0,0.108,1,0.0321,121.241,0.775,1
"530",0.748,0.586,0,0.156,1,0.0512,140.067,0.162,1
"303",0.703,0.412,5.26e-06,0.221,0,0.0288,152.219,0.815,1
"1624",0.56,0.916,0.000963,0.102,0,0.0661,144.933,0.577,0
"591",0.787,0.81,0.125,0.625,1,0.0993,77.505,0.606,1
"884",0.89,0.52,0.273,0.0638,0,0.187,114.959,0.717,1
"267",0.523,0.722,0.00336,0.122,1,0.0307,129.424,0.496,1
"1991",0.594,0.858,3.11e-06,0.0642,1,0.0387,138.021,0.646,0
"77",0.468,0.58,0.821,0.0737,1,0.0278,76.27,0.324,1
"991",0.756,0.415,0,0.144,1,0.0555,96.99,0.662,1
"320",0.912,0.317,0.000208,0.0723,0,0.0378,99.346,0.949,1
"606",0.845,0.455,5.97e-05,0.0414,1,0.0693,119.987,0.832,1
"142",0.798,0.751,3.22e-06,0.0271,1,0.263,162.003,0.482,1
"1485",0.692,0.896,6.59e-05,0.199,1,0.0502,134.056,0.809,0
"589",0.839,0.583,0,0.262,1,0.268,87.99,0.557,1
"2",0.743,0.359,0.00611,0.137,1,0.0794,160.083,0.588,1
"706",0.752,0.767,0.931,0.0833,0,0.0469,117.973,0.564,1
"1249",0.331,0.427,0,0.108,1,0.0302,157.938,0.129,0
"1820",0.51,0.602,0,0.126,1,0.0616,148.077,0.305,0
"1932",0.853,0.676,3.37e-05,0.0514,0,0.0715,122.65,0.558,0
"241",0.742,0.945,0.165,0.131,1,0.0428,112.977,0.748,1
"1263",0.543,0.944,0,0.146,1,0.0759,93.957,0.728,0
"940",0.679,0.462,0.793,0.0846,1,0.0326,120.012,0.289,1
"917",0.66,0.591,0.848,0.632,0,0.026,100.034,0.835,1
"1303",0.495,0.955,0.0551,0.308,1,0.0798,130.002,0.362,0
"1584",0.876,0.301,0,0.419,1,0.0436,69.009,0.932,0
"1329",0.517,0.991,1.44e-05,0.0501,0,0.112,120.026,0.194,0
"1945",0.524,0.429,1.37e-05,0.0726,1,0.0279,131.206,0.237,0
"823",0.827,0.503,0.443,0.123,1,0.0352,119.35,0.94,1
"1304",0.296,0.983,0.146,0.508,1,0.169,115.003,0.231,0
"1720",0.695,0.579,0,0.0556,1,0.0325,88.957,0.731,0
"1805",0.498,0.586,0,0.106,1,0.31,81.945,0.489,0
"12",0.753,0.748,0.00348,0.212,1,0.0494,104.322,0.642,1
"1749",0.571,0.77,0,0.154,1,0.03,96.09,0.529,0
"1297",0.237,0.99,0.0914,0.393,1,0.24,151.545,0.169,0
"805",0.22,0.94,0.000541,0.0926,1,0.0511,83.072,0.72,1
"82",0.711,0.705,0,0.148,0,0.252,144.053,0.403,1
"1699",0.593,0.814,0,0.18,1,0.166,146.919,0.47,0
"84",0.309,0.325,0.854,0.0742,0,0.0366,175.88,0.46,1
"74",0.768,0.853,0.13,0.0188,0,0.0427,107.234,0.887,1
"356",0.481,0.851,0.907,0.178,1,0.127,174.144,0.852,1
"197",0.476,0.818,0.757,0.279,1,0.0318,159.089,0.745,1
"1689",0.623,0.886,0,0.247,1,0.0404,92.021,0.691,0
"1515",0.487,0.135,0.00353,0.686,0,0.0434,105.854,0.23,0
"196",0.698,0.878,1.61e-05,0.518,1,0.314,182.126,0.816,1
"53",0.514,0.453,0.000181,0.178,1,0.0267,75.548,0.532,1
"339",0.185,0.89,0,0.777,1,0.0524,163.315,0.322,1
"429",0.469,0.823,0.000829,0.185,0,0.0583,122.316,0.138,1
"1641",0.561,0.771,0.000151,0.0756,1,0.036,128.025,0.212,0
"1081",0.684,0.823,0,0.111,0,0.0773,91.048,0.645,0
"584",0.744,0.685,0,0.319,1,0.34,87.675,0.56,1
"1069",0.482,0.739,1.87e-05,0.468,1,0.0342,155.932,0.596,0
"951",0.731,0.638,0.332,0.144,0,0.144,143.018,0.33,1
"297",0.535,0.374,0.0464,0.0914,1,0.0317,121.93,0.339,1
"202",0.737,0.545,9.32e-05,0.153,0,0.362,140.086,0.438,1
"844",0.347,0.638,0,0.0894,1,0.0409,94.506,0.594,1
"1250",0.385,0.663,0,0.0841,1,0.0271,156.066,0.237,0
"578",0.67,0.544,0.00792,0.14,0,0.124,140.037,0.331,1
"567",0.564,0.912,8.05e-06,0.369,0,0.143,92.054,0.582,1
"597",0.793,0.978,0.0331,0.0764,0,0.0648,124.922,0.711,1
"184",0.518,0.385,0.000536,0.0931,0,0.0286,100.878,0.264,1
"1969",0.616,0.91,0,0.343,1,0.0386,144.073,0.684,0
"872",0.43,0.734,0.000286,0.0808,0,0.102,133.992,0.0537,1
"252",0.586,0.658,0.368,0.109,0,0.0457,144.933,0.276,1
"232",0.856,0.874,0.000472,0.339,0,0.0401,122.416,0.91,1
"817",0.683,0.805,0.000231,0.357,1,0.353,123.658,0.836,1
"1598",0.338,0.0539,0.328,0.121,0,0.0414,103.861,0.205,0
"317",0.587,0.866,3.55e-05,0.15,1,0.0816,107.986,0.42,1
"1374",0.767,0.445,0.000727,0.0897,1,0.0328,119.923,0.375,0
"910",0.708,0.441,0.000147,0.0899,1,0.196,125.191,0.717,1
"24",0.224,0.925,1.35e-06,0.0663,0,0.0834,138.022,0.364,1
"453",0.716,0.724,0.000309,0.224,1,0.24,137.131,0.698,1
"1538",0.421,0.0161,0.0021,0.0978,0,0.0374,110.926,0.155,0
"576",0.777,0.688,0.69,0.096,0,0.0681,126.019,0.18,1
"1797",0.658,0.566,0,0.167,1,0.0259,80.035,0.513,0
"1238",0.361,0.236,7.79e-05,0.0831,1,0.0315,147.309,0.184,0
"171",0.717,0.862,0,0.321,1,0.054,130.021,0.512,1
"575",0.609,0.798,8.68e-06,0.434,0,0.0404,130.034,0.405,1
"155",0.79,0.676,0,0.25,0,0.271,132.002,0.314,1
"1362",0.587,0.554,0.000663,0.106,1,0.0424,80.013,0.431,0
"1523",0.46,0.141,0.885,0.11,1,0.0314,168.807,0.16,0
"1727",0.809,0.522,1.97e-05,0.0729,0,0.0821,99.001,0.879,0
"1342",0.339,0.958,1.56e-05,0.651,0,0.153,128.806,0.273,0
"1309",0.456,0.97,0.0432,0.0914,1,0.175,124.976,0.0399,0
"152",0.704,0.431,0.0972,0.249,1,0.131,146.003,0.349,1
"1025",0.612,0.841,0,0.37,0,0.0353,104.986,0.502,0
"246",0.697,0.655,0.774,0.353,0,0.15,86.969,0.436,1
"1511",0.587,0.659,0,0.0874,0,0.203,150.026,0.411,0
"600",0.688,0.457,0,0.127,1,0.0338,109.278,0.645,1
"716",0.764,0.547,0.000161,0.23,1,0.0576,89.993,0.404,1
"1785",0.764,0.348,0,0.0997,1,0.0643,119.651,0.773,0
"1974",0.446,0.764,0,0.099,1,0.033,172.094,0.52,0
"1232",0.547,0.513,0,0.181,1,0.0309,110.54,0.262,0
"718",0.772,0.407,2.4e-05,0.0705,0,0.0907,100.006,0.287,1
"1761",0.78,0.69,8.19e-05,0.0716,0,0.0445,98.002,0.327,0
"737",0.656,0.787,0.0923,0.376,1,0.043,94.495,0.0933,1
"1745",0.729,0.561,0,0.0657,1,0.028,95.981,0.395,0
"1978",0.947,0.829,0,0.28,0,0.361,129.991,0.837,0
"985",0.855,0.605,0.0573,0.0757,0,0.0637,114.999,0.676,1
"451",0.845,0.59,0.00581,0.084,1,0.0538,126.024,0.346,1
"1465",0.164,0.878,0.0617,0.205,0,0.11,171.908,0.196,0
"801",0.746,0.484,0.00824,0.0576,1,0.0434,97.923,0.596,1
"622",0.632,0.793,0,0.171,0,0.102,189.992,0.393,1
"941",0.804,0.64,0.935,0.0812,1,0.0404,124.007,0.0451,1
"137",0.772,0.582,6.61e-05,0.323,0,0.309,172.03,0.564,1
"274",0.544,0.427,0.0248,0.133,0,0.0298,139.939,0.189,1
"876",0.789,0.698,0.802,0.11,1,0.0304,120.961,0.713,1
"240",0.496,0.54,0.0367,0.13,0,0.0324,131.337,0.172,1
"1505",0.598,0.748,0.000196,0.116,1,0.0706,130.057,0.321,0
"1822",0.551,0.527,0,0.0867,1,0.0302,133.758,0.662,0
"647",0.491,0.883,3.19e-05,0.369,0,0.0306,131.75,0.516,1
"863",0.653,0.875,0.0311,0.377,1,0.125,116.956,0.796,1
"533",0.123,0.963,0.0329,0.292,1,0.0543,198.04,0.68,1
"1057",0.479,0.86,0,0.168,1,0.0347,80.018,0.759,0
"782",0.484,0.265,0,0.149,1,0.0322,113.564,0.282,1
"1010",0.494,0.78,0,0.396,1,0.301,139.725,0.884,1
"364",0.746,0.682,0,0.177,1,0.117,98.977,0.836,1
"1011",0.545,0.904,0.00117,0.0679,1,0.34,139.871,0.681,1
"334",0.716,0.647,1.38e-05,0.121,1,0.0345,131.04,0.159,1
"1434",0.984,0.941,0.0539,0.026,0,0.0805,122.003,0.331,0
"328",0.65,0.448,0,0.0931,1,0.0947,85.045,0.193,1
"749",0.589,0.621,0.00104,0.181,0,0.0468,140.03,0.398,1
"1474",0.68,0.941,0.621,0.0852,1,0.0532,124.035,0.338,0
"279",0.519,0.793,0.93,0.235,0,0.0777,164.032,0.222,1
"1946",0.498,0.467,0,0.103,1,0.03,117.78,0.402,0
"170",0.628,0.568,0.0183,0.0906,1,0.14,191.404,0.618,1
"1264",0.534,0.862,0,0.104,1,0.0486,104.012,0.435,0
"1807",0.652,0.621,5.3e-06,0.0382,0,0.263,169.983,0.647,0
"427",0.635,0.766,0,0.122,1,0.26,93.603,0.675,1
"1068",0.488,0.915,0,0.351,1,0.0389,75.019,0.637,0
"650",0.799,0.605,0.0143,0.485,1,0.286,194.055,0.378,1
"1095",0.76,0.838,1.3e-06,0.0664,0,0.0529,93.05,0.74,0
"20",0.735,0.759,0.185,0.0966,0,0.0449,109.982,0.763,1
"228",0.788,0.617,0,0.088,1,0.0651,122.065,0.13,1
"109",0.251,0.868,7.34e-06,0.818,1,0.128,177.125,0.587,1
"965",0.418,0.547,0.0443,0.187,1,0.0295,131.99,0.127,1
"757",0.645,0.836,0,0.125,0,0.159,123.966,0.176,1
"1701",0.428,0.781,1.47e-05,0.104,0,0.0608,82.353,0.72,0
"618",0.695,0.615,0.000212,0.0879,0,0.042,124.015,0.425,1
"1326",0.274,0.925,0.156,0.47,1,0.111,161.25,0.102,0
"1166",0.673,0.676,0,0.107,1,0.0308,134.944,0.568,0
"818",0.148,0.031,0.595,0.12,0,0.0365,141.84,0.0638,1
"1431",0.562,0.885,0.805,0.0621,1,0.0431,145.06,0.679,0
"1432",0.47,0.863,0.143,0.096,0,0.0461,170.137,0.335,0
"4",0.494,0.338,0.51,0.0922,1,0.0261,86.468,0.23,1
"1692",0.542,0.905,0.0104,0.136,1,0.054,153.398,0.365,0
"209",0.706,0.577,0.692,0.407,0,0.0299,96.056,0.385,1
"649",0.683,0.776,0.0748,0.0885,1,0.0754,126.18,0.667,1
"46",0.715,0.833,0,0.164,1,0.108,95.487,0.607,1
"1831",0.608,0.816,0.000554,0.116,1,0.11,114.484,0.497,0
"514",0.485,0.793,0.784,0.406,1,0.0573,131.951,0.295,1
"1709",0.593,0.872,0,0.286,0,0.0959,91.964,0.521,0
"86",0.619,0.734,0.263,0.0771,0,0.0343,106.034,0.853,1
"1101",0.772,0.909,0,0.255,0,0.166,96.031,0.679,0
"2009",0.646,0.714,0,0.134,1,0.0378,97.957,0.589,0
"298",0.356,0.567,0,0.137,0,0.0798,135.553,0.116,1
"526",0.417,0.944,0.00141,0.0862,1,0.0459,109.721,0.376,1
"322",0.883,0.333,0.804,0.257,0,0.053,121.099,0.964,1
"1938",0.658,0.781,0,0.0877,1,0.124,168.883,0.929,0
"1806",0.657,0.485,0,0.0889,0,0.0672,135.805,0.402,0
"1489",0.62,0.713,3.3e-06,0.222,1,0.0342,137.957,0.465,0
"348",0.766,0.82,0,0.336,1,0.124,117.012,0.401,1
"830",0.61,0.672,0.00283,0.109,0,0.305,129.986,0.925,1
"1711",0.586,0.896,0,0.175,1,0.11,94.954,0.353,0
"333",0.808,0.687,0.3,0.0933,1,0.0397,109.953,0.458,1
"1488",0.867,0.487,0,0.148,1,0.0777,101.959,0.777,0
"1844",0.794,0.891,9.04e-05,0.136,1,0.0439,104.315,0.813,0
"302",0.878,0.43,0.751,0.101,0,0.0658,119.999,0.138,1
"1",0.833,0.434,0.0219,0.165,1,0.431,150.062,0.286,1
"291",0.722,0.605,0.0178,0.248,1,0.153,165.998,0.69,1
"1984",0.682,0.518,0.43,0.0552,1,0.227,118.539,0.963,0
"11",0.525,0.855,0.0143,0.649,0,0.0548,111.951,0.524,1
"1990",0.48,0.826,1.01e-06,0.125,1,0.0397,96,0.701,0
"376",0.615,0.781,0,0.373,0,0.203,105.967,0.664,1
"1741",0.685,0.872,0,0.323,1,0.0321,110.046,0.806,0
"462",0.657,0.699,0.153,0.0525,0,0.0297,123.017,0.531,1
"1100",0.745,0.921,0,0.178,1,0.082,92.973,0.645,0
"1085",0.706,0.689,0,0.123,1,0.17,144.127,0.42,0
"1561",0.336,0.328,0.732,0.111,0,0.0386,184.007,0.198,0
"742",0.701,0.829,0.00223,0.14,0,0.0513,132.349,0.501,1
"90",0.786,0.547,0.272,0.0378,1,0.262,92.603,0.68,1
"624",0.941,0.685,0,0.08,1,0.0752,97.524,0.695,1
"545",0.651,0.642,0.000186,0.0902,1,0.167,88.237,0.711,1
"935",0.822,0.863,0.000632,0.0913,1,0.196,100.959,0.608,1
"1786",0.685,0.607,0,0.345,1,0.0431,125.011,0.463,0
"1718",0.638,0.705,0,0.156,1,0.035,91.961,0.292,0
